GeneName,0.0,1408.0,2797.0,4637.0,6629.0,7363.0,8567.0,9925.0,10852.0,11952.0,12989.0,13882.0,14868.0,15944.0,17347.0,76375.0,81708.0,83638.0,86393.0,162630.0,164217.0
SO_1775 mean_green,150.80450618329664,153.78654921226496,158.4113162798577,173.3354226664408,191.31899034389295,198.75893613416906,209.1129933931899,220.09994917838387,225.83889547687616,228.65915636117228,229.40911400982552,229.46705065221073,229.99525664916143,229.15348128070474,229.32915466711842,223.09283415212604,219.46738946298493,220.51939691682196,219.3161104523124,207.10418431306115,207.86989666271387
SO_1775 mean_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 mean_red,244.27121802473317,238.64475690326952,235.5634423174657,235.61155344739961,236.23462646112145,235.14077587667288,230.98119600203287,229.9803489750974,229.41589022530917,229.17855327799424,229.1480603083178,229.4169066576317,229.59613755717433,228.9234287650347,229.25444689141113,227.42385227850247,226.80586142639336,228.09605285448077,227.04031848212773,230.3918346603422,230.95595459935626
SO_1775 mean_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 mean_blue,1.202608842961206,1.0343892935795358,0.6745722513975945,0.673217008300864,25.99068270370998,64.76046078265288,126.87972217516517,185.72861256987972,212.54243604946637,224.3213620193122,226.04252075215993,226.7487718109436,226.7757072674911,226.8244960189734,226.96205319329155,205.3178045061833,190.3391495849568,189.6369642554633,188.11875317635102,119.59308826020667,120.91868541419618
SO_1775 mean_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 median_green,151.0,154.0,158.0,173.0,191.0,199.0,209.0,220.0,226.0,229.0,229.0,229.0,230.0,229.0,229.0,223.0,219.0,221.0,219.0,207.0,208.0
SO_1775 median_green std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 median_red,244.0,239.0,236.0,236.0,236.0,235.0,231.0,230.0,229.0,229.0,229.0,229.0,230.0,229.0,229.0,227.0,227.0,228.0,227.0,230.0,231.0
SO_1775 median_red std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 median_blue,1.0,1.0,0.0,0.0,26.0,65.0,127.0,185.0,213.0,224.0,226.0,227.0,227.0,227.0,227.0,205.0,190.0,189.0,188.0,120.0,121.0
SO_1775 median_blue std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 mean_yellow,273.88501041176363,273.5502791147524,272.5095358705925,266.9956624535628,236.92088678658223,198.50889076975974,137.80265759773613,79.53827403380552,52.73197885778752,40.84473449974393,38.982558846313324,38.28011556115396,38.040781589278645,38.37957637821474,38.15181112554071,60.63035679587237,75.86105481843359,75.98066937815132,77.94084343303363,145.3337613525973,143.7663001544694
SO_1775 mean_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO_1775 median_yellow,274.0292910480866,273.46464042459235,273.2366084420274,267.6986888654493,237.05553387505063,198.21408617814916,137.7313174692475,80.24554053119986,52.295334668235256,41.034898195859846,39.18892500366716,38.265938407570815,37.788157110768,38.265938407570815,38.265938407570815,61.003984669050176,76.3255621642495,76.4015728251045,78.17153535644219,145.03919957716326,143.6384316842641
SO_1775 median_yellow std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
